name,slug,region,category,description,short_description,highlights,best_season,best_months,difficulty,min_days,max_days,base_price_per_day,image_url,latitude,longitude,tags,is_featured
Sanga,sanga,Hilly,Cultural,"Sanga is a popular cultural destination in the Hilly region of Nepal. Known for its statues, cultural, temples, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Sanga — a beautiful cultural destination in Nepal.,Statues|Cultural|Temples|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Challenging,1,4,4500,/images/destinations/sanga.jpg,27.1151,84.7711,"statues,cultural,temples",False
Amayangri Hill,amayangri-hill,Hilly,Nature,"Amayangri Hill is a popular nature destination in the Hilly region of Nepal. Known for its hill, mountain, trekking, buddhist, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Amayangri Hill — a beautiful nature destination in Nepal.,Hill|Mountain|Trekking|Buddhist|Stupa,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/amayangri-hill.jpg,28.4789,86.3561,"hill,mountain,trekking,buddhist,stupa,natural beauty",False
"Tatopani, Sindhupalchowk",tatopani-sindhupalchowk,Hilly,Nature,"Tatopani, Sindhupalchowk is a popular nature destination in the Hilly region of Nepal. Known for its river, pond, rafting, border, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Tatopani, Sindhupalchowk — a beautiful nature destination in Nepal.",River|Pond|Rafting|Border,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/tatopani-sindhupalchowk.jpg,27.4709,83.6601,"river,pond,rafting,border",False
Bhotekoshi,bhotekoshi,Hilly,Adventure,"Bhotekoshi is a popular adventure destination in the Hilly region of Nepal. Known for its river, rafting, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Bhotekoshi — a beautiful adventure destination in Nepal.,River|Rafting|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/bhotekoshi.jpg,28.366,82.09,"river,rafting",False
Sunkoshi,sunkoshi,Hilly,Adventure,"Sunkoshi is a popular adventure destination in the Hilly region of Nepal. Known for its river, rafting, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Sunkoshi — a beautiful adventure destination in Nepal.,River|Rafting|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/sunkoshi.jpg,27.5387,86.1793,"river,rafting",False
Helambu,helambu,Hilly,Cultural,"Helambu is a popular cultural destination in the Hilly region of Nepal. Known for its Village, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Helambu — a beautiful cultural destination in Nepal.,Village|Trekking|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/helambu.jpg,29.1257,81.1402,"village,trekking",False
Central Zoo,central-zoo,Hilly,Wildlife,"Central Zoo is a popular wildlife destination in the Hilly region of Nepal. Known for its zoo, wildlife, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking wildlife experiences.",Explore Central Zoo — a beautiful wildlife destination in Nepal.,Zoo|Wildlife,Autumn (Sep-Nov),"1,2,3,10,11,12",Moderate,2,5,4000,/images/destinations/central-zoo.jpg,27.2504,80.0261,"zoo,wildlife",False
Gorkha Durbar & Museum,gorkha-durbar-museum,Hilly,Cultural,"Gorkha Durbar & Museum is a popular cultural destination in the Hilly region of Nepal. Known for its museum, palace, history, hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gorkha Durbar & Museum — a beautiful cultural destination in Nepal.,Museum|Palace|History|Hills|Hiking|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gorkha-durbar-museum.jpg,27.8782,80.7931,"museum,palace,history,hills,hiking,hindu,temple,art",False
Manaslu Circuit Trek,manaslu-circuit-trek,Hilly,Nature,"Manaslu Circuit Trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Manaslu Circuit Trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/manaslu-circuit-trek.jpg,26.9803,82.8162,"hiking,trekking,hills,mountains,landmarks",False
Manakamana Temple,manakamana-temple,Hilly,Cultural,"Manakamana Temple is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, hills, hiking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Manakamana Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Hills|Hiking|Cable Car|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/manakamana-temple.jpg,26.7954,80.3078,"hindu,temple,hills,hiking,cable car",False
Larpak Village,larpak-village,Hilly,Nature,"Larpak Village is a popular nature destination in the Hilly region of Nepal. Known for its village, trekking, hiking, hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Larpak Village — a beautiful nature destination in Nepal.,Village|Trekking|Hiking|Hills|Mountains,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/larpak-village.jpg,26.6677,86.3876,"village,trekking,hiking,hills,mountains",False
Bhimsen Park,bhimsen-park,Hilly,Cultural,"Bhimsen Park is a popular cultural destination in the Hilly region of Nepal. Known for its park, history, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Bhimsen Park — a beautiful cultural destination in Nepal.,Park|History|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/bhimsen-park.jpg,27.8153,80.2044,"park,history",False
Gorakhnath Temple,gorakhnath-temple,Hilly,Cultural,"Gorakhnath Temple is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, hills, hiking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gorakhnath Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Hills|Hiking|History|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gorakhnath-temple.jpg,28.7952,81.0053,"hindu,temple,hills,hiking,history",False
Annapurna Circuit Trek,annapurna-circuit-trek,Hilly,Nature,"Annapurna Circuit Trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Annapurna Circuit Trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/annapurna-circuit-trek.jpg,29.2033,84.7653,"hiking,trekking,hills,mountains,landmarks",True
Tilicho Lake,tilicho-lake,Hilly,Nature,"Tilicho Lake is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Tilicho Lake — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Lake,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/tilicho-lake.jpg,29.3798,82.2389,"hiking,trekking,hills,mountains,lake",False
Nar Phu Valley Trek,nar-phu-valley-trek,Hilly,Nature,"Nar Phu Valley Trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Nar Phu Valley Trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/nar-phu-valley-trek.jpg,28.3395,87.7956,"hiking,trekking,hills,mountains,landmarks,village",False
Milarepa Cave,milarepa-cave,Hilly,Nature,"Milarepa Cave is a popular nature destination in the Hilly region of Nepal. Known for its buddhist, cave, landmarks, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Milarepa Cave — a beautiful nature destination in Nepal.,Buddhist|Cave|Landmarks|Mountains|Hills,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/milarepa-cave.jpg,26.6387,84.1851,"buddhist,cave,landmarks,mountains,hills,hiking,trekking",False
Gangapurna Lake,gangapurna-lake,Hilly,Nature,"Gangapurna Lake is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Gangapurna Lake — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Lake,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/gangapurna-lake.jpg,29.4618,82.6604,"hiking,trekking,hills,mountains,lake",False
Braga Village,braga-village,Hilly,Nature,"Braga Village is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Braga Village — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/braga-village.jpg,26.9802,83.1454,"hiking,trekking,hills,mountains,landmarks,village",False
Upper mustang trek,upper-mustang-trek,Hilly,Nature,"Upper mustang trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Upper mustang trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/upper-mustang-trek.jpg,28.967,82.9077,"hiking,trekking,hills,mountains,landmarks",False
Upper mustang tiji festival trek,upper-mustang-tiji-festival-trek,Hilly,Nature,"Upper mustang tiji festival trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Upper mustang tiji festival trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/upper-mustang-tiji-festival-trek.jpg,27.5974,86.0615,"hiking,trekking,hills,mountains,landmarks",False
Upper Dolpo to Mustang trek,upper-dolpo-to-mustang-trek,Hilly,Nature,"Upper Dolpo to Mustang trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Upper Dolpo to Mustang trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/upper-dolpo-to-mustang-trek.jpg,27.164,83.1981,"hiking,trekking,hills,mountains,landmarks",False
Lo Manthang trek,lo-manthang-trek,Hilly,Nature,"Lo Manthang trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Lo Manthang trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/lo-manthang-trek.jpg,27.0484,83.548,"hiking,trekking,hills,mountains,landmarks",False
Lower Mustang trek,lower-mustang-trek,Hilly,Nature,"Lower Mustang trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Lower Mustang trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/lower-mustang-trek.jpg,28.6963,82.5221,"hiking,trekking,hills,mountains,landmarks",False
Kali Gandaki valley trek,kali-gandaki-valley-trek,Hilly,Nature,"Kali Gandaki valley trek is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Kali Gandaki valley trek — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/kali-gandaki-valley-trek.jpg,28.3857,85.1427,"hiking,trekking,hills,mountains,landmarks,village",False
Jomsom to Muktinath trek,jomsom-to-muktinath-trek,Hilly,Cultural,"Jomsom to Muktinath trek is a popular cultural destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Jomsom to Muktinath trek — a beautiful cultural destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Challenging,1,4,4500,/images/destinations/jomsom-to-muktinath-trek.jpg,27.7103,81.8178,"hiking,trekking,hills,mountains,landmarks,village,hindu,temple",False
Muktinath,muktinath,Hilly,Cultural,"Muktinath is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, mountains, hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Muktinath — a beautiful cultural destination in Nepal.,Hindu|Temple|Mountains|Hills|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/muktinath.jpg,26.6596,80.5334,"hindu,temple,mountains,hills",False
Todke,todke,Hilly,Nature,"Todke is a popular nature destination in the Hilly region of Nepal. Known for its Village, hills, mountains, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Todke — a beautiful nature destination in Nepal.,Village|Hills|Mountains|Trekking|Hiking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/todke.jpg,29.0997,86.5251,"village,hills,mountains,trekking,hiking",False
Jagannath Temple,jagannath-temple,Hilly,Cultural,"Jagannath Temple is a popular cultural destination in the Hilly region of Nepal. Known for its Hindu, temple, art, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Jagannath Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Art|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/jagannath-temple.jpg,28.6924,86.4892,"hindu,temple,art",False
Galeshwor Dham,galeshwor-dham,Hilly,Cultural,"Galeshwor Dham is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Galeshwor Dham — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/galeshwor-dham.jpg,29.4644,82.1706,"hindu,temple",False
Maharani Than,maharani-than,Hilly,Cultural,"Maharani Than is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Maharani Than — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/maharani-than.jpg,27.2547,82.5954,"hindu,temple",False
Malika Dhuri,malika-dhuri,Hilly,Nature,"Malika Dhuri is a popular nature destination in the Hilly region of Nepal. Known for its hills, mountains, hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Malika Dhuri — a beautiful nature destination in Nepal.,Hills|Mountains|Hindu|Temple,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/malika-dhuri.jpg,28.2294,87.6701,"hills,mountains,hindu,temple",False
Karbakeli footpath,karbakeli-footpath,Hilly,Nature,"Karbakeli footpath is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Karbakeli footpath — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/karbakeli-footpath.jpg,26.5733,85.278,"hiking,trekking,hills,mountains,landmarks,village",False
Singa Tatopani Kunda,singa-tatopani-kunda,Hilly,Nature,"Singa Tatopani Kunda is a popular nature destination in the Hilly region of Nepal. Known for its pond, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Singa Tatopani Kunda — a beautiful nature destination in Nepal.,Pond|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/singa-tatopani-kunda.jpg,27.7563,80.8493,"pond,landmarks",False
Kaligandaki River,kaligandaki-river,Hilly,Nature,"Kaligandaki River is a popular nature destination in the Hilly region of Nepal. Known for its river, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Kaligandaki River — a beautiful nature destination in Nepal.,River|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/kaligandaki-river.jpg,26.6295,86.2236,"river,landmarks",False
Ghorepani,ghorepani,Hilly,Nature,"Ghorepani is a popular nature destination in the Hilly region of Nepal. Known for its hiking, trekking, hills, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Ghorepani — a beautiful nature destination in Nepal.,Hiking|Trekking|Hills|Mountains|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/ghorepani.jpg,27.4639,87.7037,"hiking,trekking,hills,mountains,landmarks",False
Rupse Jharna,rupse-jharna,Hilly,Nature,"Rupse Jharna is a popular nature destination in the Hilly region of Nepal. Known for its waterfall, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Rupse Jharna — a beautiful nature destination in Nepal.,Waterfall,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/rupse-jharna.jpg,29.4917,87.7892,waterfall,False
Dhaulagiri Himal,dhaulagiri-himal,Hilly,Adventure,"Dhaulagiri Himal is a popular adventure destination in the Hilly region of Nepal. Known for its mountains, trekking, climbing, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Dhaulagiri Himal — a beautiful adventure destination in Nepal.,Mountains|Trekking|Climbing,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/dhaulagiri-himal.jpg,26.9423,81.2691,"mountains,trekking,climbing",False
Beni Bazaar,beni-bazaar,Hilly,Nature,"Beni Bazaar is a popular nature destination in the Hilly region of Nepal. Known for its city, landmarks, hills, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Beni Bazaar — a beautiful nature destination in Nepal.,City|Landmarks|Hills|River,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/beni-bazaar.jpg,27.2051,81.0411,"city,landmarks,hills,river",False
Phewa Lake,phewa-lake,Hilly,Nature,"Phewa Lake is a popular nature destination in the Hilly region of Nepal. Known for its lake, scenery, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Phewa Lake — a beautiful nature destination in Nepal.,Lake|Scenery,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/phewa-lake.jpg,29.1077,83.88,"lake,scenery",False
Davis Falls,davis-falls,Hilly,Nature,"Davis Falls is a popular nature destination in the Hilly region of Nepal. Known for its waterfall, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Davis Falls — a beautiful nature destination in Nepal.,Waterfall,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/davis-falls.jpg,28.8307,83.4216,waterfall,False
Tal Barahi Temple,tal-barahi-temple,Hilly,Cultural,"Tal Barahi Temple is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, lake, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Tal Barahi Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Lake|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/tal-barahi-temple.jpg,28.4843,86.0134,"hindu,temple,lake",False
International Mountain Museum,international-mountain-museum,Hilly,Cultural,"International Mountain Museum is a popular cultural destination in the Hilly region of Nepal. Known for its museum, history, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore International Mountain Museum — a beautiful cultural destination in Nepal.,Museum|History|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/international-mountain-museum.jpg,28.3223,85.2079,"museum,history",False
Begnas Lake,begnas-lake,Hilly,Nature,"Begnas Lake is a popular nature destination in the Hilly region of Nepal. Known for its Lake, hills, hiking, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Begnas Lake — a beautiful nature destination in Nepal.,Lake|Hills|Hiking|Mountains,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/begnas-lake.jpg,28.1151,86.9229,"lake,hills,hiking,mountains",False
Shree Bindhyabasini Temple,shree-bindhyabasini-temple,Hilly,Cultural,"Shree Bindhyabasini Temple is a popular cultural destination in the Hilly region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Shree Bindhyabasini Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/shree-bindhyabasini-temple.jpg,27.2466,81.6049,"hindu,temple",False
Gupteshwor Mahadev Cave,gupteshwor-mahadev-cave,Hilly,Nature,"Gupteshwor Mahadev Cave is a popular nature destination in the Hilly region of Nepal. Known for its hindu, temple, cave, waterfall, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Gupteshwor Mahadev Cave — a beautiful nature destination in Nepal.,Hindu|Temple|Cave|Waterfall,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/gupteshwor-mahadev-cave.jpg,27.9435,82.0596,"hindu,temple,cave,waterfall",False
World Peace Pagoda,world-peace-pagoda,Hilly,Nature,"World Peace Pagoda is a popular nature destination in the Hilly region of Nepal. Known for its landmark, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore World Peace Pagoda — a beautiful nature destination in Nepal.,Landmark,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/world-peace-pagoda.jpg,28.3732,80.934,landmark,False
Mahendra Cave,mahendra-cave,Hilly,Nature,"Mahendra Cave is a popular nature destination in the Hilly region of Nepal. Known for its cave, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Mahendra Cave — a beautiful nature destination in Nepal.,Cave,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/mahendra-cave.jpg,27.5162,80.4012,cave,False
Rupa Lake,rupa-lake,Hilly,Nature,"Rupa Lake is a popular nature destination in the Hilly region of Nepal. Known for its Lake, hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Rupa Lake — a beautiful nature destination in Nepal.,Lake|Hills,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/rupa-lake.jpg,29.2706,80.9193,"lake,hills",False
Gorkha Memorial Museum,gorkha-memorial-museum,Hilly,Cultural,"Gorkha Memorial Museum is a popular cultural destination in the Hilly region of Nepal. Known for its museum, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gorkha Memorial Museum — a beautiful cultural destination in Nepal.,Museum|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gorkha-memorial-museum.jpg,28.6659,81.1273,museum,False
Chamere Gufa,chamere-gufa,Hilly,Nature,"Chamere Gufa is a popular nature destination in the Hilly region of Nepal. Known for its cave, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Chamere Gufa — a beautiful nature destination in Nepal.,Cave,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/chamere-gufa.jpg,29.2043,87.5016,cave,False
Seti River Gorge,seti-river-gorge,Hilly,Nature,"Seti River Gorge is a popular nature destination in the Hilly region of Nepal. Known for its river, scenery, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Seti River Gorge — a beautiful nature destination in Nepal.,River|Scenery,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/seti-river-gorge.jpg,27.7203,85.4945,"river,scenery",False
Bhimsen Temple,bhimsen-temple-1,Hilly,Cultural,"Bhimsen Temple is a popular cultural destination in the Hilly region of Nepal. Known for its temple, hindu, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Bhimsen Temple — a beautiful cultural destination in Nepal.,Temple|Hindu|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/bhimsen-temple-1.jpg,26.5515,82.5867,"temple,hindu",False
Matepani Gumba,matepani-gumba,Hilly,Cultural,"Matepani Gumba is a popular cultural destination in the Hilly region of Nepal. Known for its buddhist, monastery, gumba, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Matepani Gumba — a beautiful cultural destination in Nepal.,Buddhist|Monastery|Gumba|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/matepani-gumba.jpg,29.3512,86.6088,"buddhist,monastery,gumba",False
